           ******* TWO SAMPLE TEST ******
    
        TITLE : L500 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L500     
        TESTED GROUPS ARE Sy1       AND Sy2      
     
      # OF DATA POINTS : 261, # OF UPPER LIMITS : 138
      # OF DATA POINTS IN GROUP I  : 125
      # OF DATA POINTS IN GROUP II : 136
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
               T(I)         SCORE(I)
              43.264          0.477
              43.122         -0.521
              42.821         -0.525
              42.814          0.473
              42.683         -0.530
              42.646         -0.530
              42.613          0.466
              42.588          0.470
              42.559         -0.531
              42.550          0.467
              42.519          0.471
              42.512         -0.527
              42.510          0.471
              42.510         -0.527
              42.508          0.471
              42.494         -0.528
              42.463          0.470
              42.454         -0.532
              42.452          0.465
              42.423         -0.533
              42.410         -0.538
              42.406          0.462
              42.401          0.464
              42.392         -0.536
              42.374          0.465
              42.369         -0.535
              42.350         -0.535
              42.348         -0.538
              42.345         -0.538
              42.323          0.451
              42.305         -0.552
              42.295         -0.552
              42.284          0.442
              42.260          0.444
              42.251          0.443
              42.245          0.446
              42.235          0.445
              42.225          0.447
              42.210          0.444
              42.203          0.446
              42.181          0.448
              42.179          0.450
              42.178          0.453
              42.171         -0.551
              42.143         -0.554
              42.119          0.442
              42.116          0.444
              42.107         -0.550
              42.099         -0.554
              42.068         -0.567
              42.067          0.429
              42.066         -0.568
              42.062          0.429
              42.035          0.428
              42.034          0.430
              42.033         -0.567
              42.015         -0.582
              42.014          0.411
              42.014         -0.587
              42.005          0.405
              41.992          0.408
              41.980          0.407
              41.978          0.406
              41.969          0.408
              41.936          0.414
              41.928         -0.583
              41.915         -0.591
              41.912         -0.593
              41.910          0.403
              41.898          0.415
              41.889          0.419
              41.885         -0.578
              41.880         -0.583
              41.871          0.407
              41.865          0.410
              41.864         -0.587
              41.849         -0.592
              41.848          0.403
              41.826          0.410
              41.822          0.414
              41.818          0.412
              41.787          0.420
              41.778          0.423
              41.764          0.427
              41.757         -0.569
              41.751          0.426
              41.748         -0.570
              41.734          0.423
              41.713          0.422
              41.693          0.424
              41.680          0.429
