           ******* TWO SAMPLE TEST ******
    
        TITLE : L500 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L500     
        TESTED GROUPS ARE Sy 1      AND Sy 2     
     
      # OF DATA POINTS : 306, # OF UPPER LIMITS : 166
      # OF DATA POINTS IN GROUP I  : 149
      # OF DATA POINTS IN GROUP II : 157
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
              42.447         0         2    -256.0     278.0
              42.441         0         1    -254.0     277.0
              42.435         0         2    -252.0     276.0
              42.429         1         1      24.0       1.0
              42.422         1         1      24.0       1.0
              42.417         1         2      24.0       1.0
              42.412         1         2      24.0       1.0
              42.411         1         1      24.0       1.0
              42.400         1         2      24.0       1.0
              42.397         1         2      24.0       1.0
              42.386         0         1    -243.0     268.0
              42.376         1         1      25.0       1.0
              42.363         0         2    -240.0     266.0
              42.361         1         2      26.0       1.0
              42.358         0         1    -237.0     264.0
              42.356         1         1      27.0       1.0
              42.352         0         1    -234.0     262.0
              42.347         0         2    -232.0     261.0
              42.346         1         2      29.0       1.0
              42.336         1         1      29.0       1.0
              42.335         1         1      29.0       1.0
              42.322         1         1      29.0       1.0
              42.322         0         1    -226.0     256.0
              42.319         0         2    -224.0     255.0
              42.316         0         1    -222.0     254.0
              42.314         1         2      32.0       1.0
              42.311         0         2    -219.0     252.0
              42.309         1         1      33.0       1.0
              42.303         0         1    -216.0     250.0
              42.302         1         1      34.0       1.0
              42.299         1         1      34.0       1.0
              42.299         0         2    -212.0     247.0
              42.298         0         1    -210.0     246.0
              42.294         0         1    -208.0     245.0
              42.294         1         1      37.0       1.0
              42.290         1         1      37.0       1.0
              42.289         1         2      37.0       1.0
              42.282         1         2      37.0       1.0
              42.282         0         2    -202.0     240.0
              42.270         1         1      38.0       1.0
              42.268         0         2    -199.0     238.0
              42.267         1         1      39.0       1.0
              42.267         0         2    -196.0     236.0
              42.266         0         2    -194.0     235.0
              42.264         1         2      41.0       1.0
              42.259         1         2      41.0       1.0
              42.258         1         2      41.0       1.0
              42.254         1         2      41.0       1.0
              42.247         0         1    -188.0     230.0
              42.247         0         2    -186.0     229.0
              42.245         1         1      43.0       1.0
              42.245         1         1      43.0       1.0
              42.243         1         1      43.0       1.0
              42.241         1         1      43.0       1.0
              42.238         1         2      43.0       1.0
              42.238         0         2    -179.0     223.0
              42.235         0         2    -177.0     222.0
              42.232         1         1      45.0       1.0
              42.229         1         1      45.0       1.0
              42.228         0         1    -173.0     219.0
              42.228         0         2    -171.0     218.0
              42.228         1         1      47.0       1.0
              42.221         1         2      47.0       1.0
              42.221         1         2      47.0       1.0
              42.221         1         1      47.0       1.0
              42.219         1         1      47.0       1.0
              42.217         0         2    -164.0     212.0
              42.214         1         2      48.0       1.0
              42.209         0         1    -161.0     210.0
              42.205         1         2      49.0       1.0
              42.202         0         2    -158.0     208.0
              42.199         1         2      50.0       1.0
              42.190         1         1      50.0       1.0
              42.190         1         1      50.0       1.0
              42.187         1         2      50.0       1.0
              42.182         1         1      50.0       1.0
              42.181         0         2    -151.0     202.0
              42.175         1         1      51.0       1.0
              42.175         0         1    -148.0     200.0
              42.173         1         2      52.0       1.0
              42.172         1         2      52.0       1.0
              42.168         0         1    -144.0     197.0
              42.158         0         2    -142.0     196.0
              42.156         0         1    -140.0     195.0
              42.152         0         2    -138.0     194.0
              42.152         0         2    -136.0     193.0
              42.152         1         2      57.0       1.0
              42.147         0         1    -133.0     191.0
              42.145         1         2      58.0       1.0
              42.144         1         2      58.0       1.0
              42.143         1         1      58.0       1.0
              42.138         1         2      58.0       1.0
              42.137         0         2    -127.0     186.0
              42.136         1         1      59.0       1.0
              42.132         0         2    -124.0     184.0
              42.111         1         1      60.0       1.0
              42.108         1         2      60.0       1.0
              42.105         0         2    -120.0     181.0
              42.105         1         1      61.0       1.0
              42.104         1         1      61.0       1.0
              42.102         1         1      61.0       1.0
              42.099         1         2      61.0       1.0
              42.097         1         1      61.0       1.0
              42.092         0         1    -113.0     175.0
              42.085         1         1      62.0       1.0
              42.082         1         1      62.0       1.0
              42.081         1         1      62.0       1.0
              42.076         1         1      62.0       1.0
              42.075         0         2    -107.0     170.0
              42.067         0         1    -105.0     169.0
              42.066         1         1      64.0       1.0
              42.060         1         2      64.0       1.0
              42.059         0         1    -101.0     166.0
              42.057         1         2      65.0       1.0
              42.053         1         2      65.0       1.0
              42.053         0         1     -97.0     163.0
              42.052         0         2     -95.0     162.0
              42.052         1         1      67.0       1.0
              42.051         0         2     -92.0     160.0
              42.050         1         2      68.0       1.0
              42.050         1         1      68.0       1.0
              42.048         1         2      68.0       1.0
              42.041         0         1     -87.0     156.0
              42.037         0         2     -85.0     155.0
              42.034         0         1     -83.0     154.0
              42.034         0         1     -81.0     153.0
              42.032         0         1     -79.0     152.0
              42.025         0         2     -77.0     151.0
              42.025         1         2      74.0       1.0
              42.023         0         1     -74.0     149.0
              42.020         0         2     -72.0     148.0
              42.014         1         2      76.0       1.0
              42.012         1         2      76.0       1.0
              42.005         0         2     -68.0     145.0
              42.003         1         1      77.0       1.0
              42.002         1         2      77.0       1.0
              42.001         1         1      77.0       1.0
              42.001         1         1      77.0       1.0
              41.983         0         1     -62.0     140.0
              41.981         1         1      78.0       1.0
              41.976         0         2     -59.0     138.0
              41.969         1         1      79.0       1.0
              41.966         0         2     -56.0     136.0
              41.961         1         1      80.0       1.0
              41.957         0         2     -53.0     134.0
              41.953         0         2     -51.0     133.0
              41.951         0         2     -49.0     132.0
              41.943         1         2      83.0       1.0
              41.939         0         2     -46.0     130.0
              41.938         0         1     -44.0     129.0
              41.930         1         2      85.0       1.0
              41.927         1         1      85.0       1.0
              41.903         1         1      85.0       1.0
              41.901         1         2      85.0       1.0
              41.901         0         2     -38.0     124.0
              41.897         0         2     -36.0     123.0
              41.896         1         1      87.0       1.0
              41.895         0         2     -33.0     121.0
              41.891         0         2     -31.0     120.0
              41.890         1         2      89.0       1.0
              41.880         1         2      89.0       1.0
              41.876         1         1      89.0       1.0
              41.874         0         2     -26.0     116.0
              41.869         1         1      90.0       1.0
              41.866         1         2      90.0       1.0
              41.866         1         1      90.0       1.0
              41.862         1         1      90.0       1.0
              41.862         0         2     -20.0     111.0
              41.857         1         1      91.0       1.0
              41.856         0         2     -17.0     109.0
              41.853         0         1     -15.0     108.0
              41.852         1         1      93.0       1.0
              41.852         1         1      93.0       1.0
              41.846         1         2      93.0       1.0
              41.844         1         2      93.0       1.0
              41.843         1         1      93.0       1.0
              41.840         1         1      93.0       1.0
              41.836         1         1      93.0       1.0
              41.834         0         1      -6.0     100.0
              41.832         0         2      -4.0      99.0
              41.832         0         2      -2.0      98.0
              41.831         0         2       0.0      97.0
              41.830         0         2       2.0      96.0
              41.828         0         1       4.0      95.0
              41.823         1         1      99.0       1.0
              41.822         1         1      99.0       1.0
              41.805         0         1       8.0      92.0
              41.802         1         1     100.0       1.0
              41.798         1         1     100.0       1.0
              41.795         1         2     100.0       1.0
              41.791         0         2      13.0      88.0
              41.787         1         1     101.0       1.0
              41.785         1         2     101.0       1.0
              41.762         1         2     101.0       1.0
              41.747         1         2     101.0       1.0
              41.745         1         2     101.0       1.0
              41.742         0         2      20.0      82.0
              41.735         0         2      22.0      81.0
              41.734         0         2      24.0      80.0
              41.721         1         2     104.0       1.0
              41.720         0         2      27.0      78.0
              41.714         0         2      29.0      77.0
              41.712         1         2     106.0       1.0
              41.709         1         1     106.0       1.0
              41.688         1         2     106.0       1.0
              41.685         0         2      34.0      73.0
              41.684         1         1     107.0       1.0
              41.676         1         2     107.0       1.0
              41.672         0         2      39.0      69.0
              41.672         0         2      39.0      69.0
              41.668         1         1     109.0       1.0
              41.666         1         1     109.0       1.0
              41.661         0         2      44.0      66.0
              41.661         0         2      46.0      65.0
              41.658         0         2      48.0      64.0
              41.648         0         1      50.0      63.0
              41.648         1         1     113.0       1.0
              41.637         0         2      53.0      61.0
              41.634         1         1     114.0       1.0
              41.631         0         2      56.0      59.0
              41.616         1         2     115.0       1.0
              41.601         1         2     115.0       1.0
              41.596         0         2      60.0      56.0
              41.594         0         1      62.0      55.0
              41.590         0         2      64.0      54.0
              41.570         0         2      66.0      53.0
              41.570         1         1     119.0       1.0
              41.566         1         1     119.0       1.0
              41.557         0         2      70.0      50.0
              41.556         1         2     120.0       1.0
              41.555         1         1     120.0       1.0
              41.553         1         2     120.0       1.0
              41.551         1         2     120.0       1.0
              41.541         1         1     120.0       1.0
              41.539         1         1     120.0       1.0
              41.507         0         1      78.0      43.0
              41.498         0         2      80.0      42.0
              41.487         1         2     122.0       1.0
              41.480         0         1      83.0      40.0
              41.480         0         2      85.0      39.0
              41.479         1         1     124.0       1.0
              41.475         0         2      88.0      37.0
              41.461         0         1      90.0      36.0
              41.457         0         2      92.0      35.0
              41.451         0         1      94.0      34.0
              41.435         1         1     128.0       1.0
              41.424         1         1     128.0       1.0
              41.404         0         1      98.0      31.0
              41.368         0         2     100.0      30.0
              41.346         1         2     130.0       1.0
              41.340         1         1     130.0       1.0
              41.333         1         1     130.0       1.0
              41.327         0         1     105.0      26.0
              41.322         1         2     131.0       1.0
              41.319         1         1     131.0       1.0
              41.304         0         2     109.0      23.0
              41.275         1         1     132.0       1.0
              41.245         1         1     132.0       1.0
              41.220         1         2     132.0       1.0
              41.211         0         2     114.0      19.0
              41.206         0         1     116.0      18.0
              41.197         0         2     118.0      17.0
              41.190         1         2     135.0       1.0
              41.171         1         2     135.0       1.0
              41.129         0         2     122.0      14.0
              41.096         0         2     124.0      13.0
              41.079         1         1     137.0       1.0
              41.024         1         1     137.0       1.0
              41.014         1         1     137.0       1.0
              40.937         0         1     129.0       9.0
              40.925         0         2     131.0       8.0
              40.800         1         1     139.0       1.0
              40.794         1         1     139.0       1.0
              40.775         1         1     139.0       1.0
              40.752         1         2     139.0       1.0
              40.746         0         1     137.0       3.0
              40.635         1         2     140.0       1.0
              40.314         1         2     140.0       1.0
          TEST STATISTIC        =       0.991
          PROBABILITY           =       0.3218

     
        GEHAN`S GENERALIZED WILCOXON TEST -- HYPERGEOMETRIC VARIANCE
     
          WW  =        1080.000
          VAR =     1186256.522
     
             

               T(I)         SCORE(I)
              43.461       -157.000
              43.257        147.000
              43.104       -156.000
              42.824        145.000
              42.777       -155.000
              42.761       -155.000
              42.728       -155.000
              42.633       -155.000
              42.611        140.000
              42.578       -152.000
              42.568        139.000
              42.537        138.000
              42.532       -150.000
              42.523        137.000
              42.519        137.000
              42.510       -148.000
              42.509        136.000
              42.493       -147.000
              42.471        134.000
              42.470       -146.000
              42.458        133.000
              42.447        133.000
              42.441       -144.000
              42.435        132.000
              42.386       -139.000
              42.363        127.000
              42.358       -137.000
              42.352       -137.000
              42.347        124.000
              42.322       -135.000
              42.319        120.000
              42.316       -134.000
              42.311        119.000
              42.303       -132.000
              42.299        115.000
              42.298       -131.000
              42.294       -131.000
              42.282        111.000
              42.268        110.000
              42.267        109.000
              42.266        109.000
              42.247       -121.000
              42.247        108.000
              42.238        104.000
              42.235        104.000
              42.228       -117.000
              42.228        101.000
              42.217         98.000
              42.209       -112.000
              42.202         97.000
              42.181         94.000
              42.175       -107.000
              42.168       -105.000
              42.158         91.000
              42.156       -104.000
              42.152         90.000
              42.152         90.000
              42.147       -101.000
              42.137         88.000
              42.132         87.000
              42.105         86.000
              42.092        -93.000
              42.075         77.000
              42.067        -92.000
              42.059        -91.000
              42.053        -89.000
              42.052         73.000
              42.051         72.000
              42.041        -85.000
              42.037         70.000
              42.034        -84.000
              42.034        -84.000
              42.032        -84.000
              42.025         67.000
              42.023        -82.000
              42.020         66.000
              42.005         66.000
              41.983        -77.000
              41.976         61.000
              41.966         60.000
              41.957         59.000
              41.953         59.000
              41.951         59.000
              41.939         59.000
              41.938        -70.000
              41.901         56.000
              41.897         56.000
              41.895         55.000
              41.891         55.000
              41.874         54.000
              41.862         51.000
              41.856         50.000
              41.853        -58.000
              41.834        -56.000
              41.832         43.000
              41.832         43.000
              41.831         43.000
              41.830         43.000
              41.828        -52.000
              41.805        -52.000
              41.791         37.000
              41.742         36.000
              41.735         36.000
              41.734         36.000
              41.720         36.000
              41.714         36.000
              41.685         35.000
              41.672         68.000
              41.661         32.000
              41.661         32.000
              41.658         32.000
              41.648        -31.000
              41.637         30.000
              41.631         29.000
              41.596         29.000
              41.594        -26.000
              41.590         28.000
              41.570         28.000
              41.557         26.000
              41.507        -20.000
              41.498         22.000
              41.480        -18.000
              41.480         21.000
              41.475         20.000
              41.461        -16.000
              41.457         19.000
              41.451        -15.000
              41.404        -15.000
              41.368         15.000
              41.327        -13.000
              41.304         11.000
              41.211          9.000
              41.206         -9.000
              41.197          8.000
              41.129          8.000
              41.096          8.000
              40.937         -4.000
              40.925          4.000
              40.746         -2.000
          TEST STATISTIC        =       0.992
          PROBABILITY           =       0.3214

     
        LOGRANK TEST 
     
          WW  =          13.510
          VAR =          34.759
     
             

               T(I)         SCORE(I)
              43.461         -0.513
              43.257          0.484
              43.104         -0.515
              42.824          0.482
              42.777         -0.517
              42.761         -0.520
              42.728         -0.522
              42.633         -0.524
              42.611          0.475
              42.578         -0.521
              42.568          0.478
              42.537          0.478
              42.532         -0.521
              42.523          0.477
              42.519          0.479
              42.510         -0.519
              42.509          0.479
              42.493         -0.519
              42.471          0.477
              42.470         -0.521
              42.458          0.477
              42.447          0.478
              42.441         -0.520
              42.435          0.478
              42.386         -0.519
              42.363          0.477
              42.358         -0.519
              42.352         -0.523
              42.347          0.475
              42.322         -0.527
              42.319          0.471
              42.316         -0.528
              42.311          0.472
              42.303         -0.528
              42.299          0.466
              42.298         -0.533
              42.294         -0.535
              42.282          0.463
              42.268          0.462
              42.267          0.462
              42.266          0.464
              42.247         -0.526
              42.247          0.472
              42.238          0.466
              42.235          0.468
              42.228         -0.534
              42.228          0.463
              42.217          0.462
              42.209         -0.533
              42.202          0.466
              42.181          0.465
              42.175         -0.535
              42.168         -0.533
              42.158          0.464
              42.156         -0.533
              42.152          0.464
              42.152          0.466
              42.147         -0.529
              42.137          0.473
              42.132          0.473
              42.105          0.475
              42.092         -0.531
              42.075          0.453
              42.067         -0.544
              42.059         -0.548
              42.053         -0.546
              42.052          0.451
              42.051          0.450
              42.041         -0.545
              42.037          0.452
              42.034         -0.545
              42.034         -0.549
              42.032         -0.553
              42.025          0.444
              42.023         -0.550
              42.020          0.446
              42.005          0.455
              41.983         -0.550
              41.976          0.442
              41.966          0.441
              41.957          0.440
              41.953          0.444
              41.951          0.447
              41.939          0.454
              41.938         -0.543
              41.901          0.452
              41.897          0.455
              41.895          0.455
              41.891          0.458
              41.874          0.466
              41.862          0.459
              41.856          0.459
              41.853         -0.537
              41.834         -0.560
              41.832          0.434
              41.832          0.439
              41.831          0.443
              41.830          0.448
              41.828         -0.547
              41.805         -0.565
              41.791          0.420
              41.742          0.439
              41.735          0.444
              41.734          0.450
              41.720          0.462
              41.714          0.468
              41.685          0.479
              41.672          0.971
              41.661          0.485
              41.661          0.492
              41.658          0.500
              41.648         -0.492
              41.637          0.492
              41.631          0.492
              41.596          0.518
              41.594         -0.473
              41.590          0.519
              41.570          0.528
              41.557          0.520
              41.507         -0.465
              41.498          0.524
              41.480         -0.450
              41.480          0.538
              41.475          0.541
              41.461         -0.444
              41.457          0.543
              41.451         -0.441
              41.404         -0.484
              41.368          0.500
              41.327         -0.500
              41.304          0.478
              41.211          0.474
              41.206         -0.500
              41.197          0.471
              41.129          0.571
              41.096          0.615
              40.937         -0.444
              40.925          0.500
              40.746         -0.667
          TEST STATISTIC        =       2.291
          PROBABILITY           =       0.0219

     
        PETO & PETO GENERALIZED WILCOXON TEST
     
          WW =     -7.22
          VAR=     18.680
     


               T(I)         SCORE(I)
              43.461          0.997
              43.333         -0.003
              43.257          0.990
              43.104          0.984
              42.934         -0.010
              42.824          0.977
              42.777          0.970
              42.762         -0.016
              42.761          0.964
              42.728          0.957
              42.633          0.951
              42.611          0.944
              42.606         -0.030
              42.601         -0.030
              42.578          0.937
              42.568          0.931
              42.554         -0.036
              42.537          0.924
              42.532          0.917
              42.523          0.911
              42.519          0.904
              42.510          0.897
              42.509          0.891
              42.493          0.884
              42.486         -0.060
              42.471          0.877
              42.470          0.871
              42.458          0.864
              42.447          0.857
              42.441          0.851
              42.435          0.844
              42.429         -0.080
              42.422         -0.080
              42.417         -0.080
              42.412         -0.080
              42.411         -0.080
              42.400         -0.080
              42.397         -0.080
              42.386          0.837
              42.376         -0.083
              42.363          0.830
              42.361         -0.087
              42.358          0.823
              42.356         -0.090
              42.352          0.816
              42.347          0.810
              42.346         -0.097
              42.336         -0.097
              42.335         -0.097
              42.322         -0.097
              42.322          0.803
              42.319          0.795
              42.316          0.788
