HRS_1	CGCG	VCC	UGC	NGC	IC	Dist_Mpc	Type	E_BV	a	b	pa	FUVasy	e_FUVasy	NUVasy	e_NUVasy	logMstart	Flag12	S12	err12	Flag22	S22	err22	Flag100	S100	err100	Flag160	S160	err160	Flag250	S250	err_tot250	Flag350	S350	err_tot350	Flag500	S500	err_tot500	Npix250	Npix350	Npix500	err_inst250	err_inst350	err_inst500	err_conf250	err_conf350	err_conf500	err_sky250	err_sky350	err_sky500	Note
145	70067	849	7519	4390	0	23	6	0.031	91.56	76.44	125	15.369	0.057	15.109	0.03	9.31	1	67.12	4.35	1	63.92	15.37	1	2.17E+00	3.48E-01	1	3.32E+00	3.46E-01	3	1820.4	102.3	3	937.2	83.2	3	413.2	42.1	610	343	151	10.6	7.7	6.1	41.1	33.6	24.4	93.1	75.7	33.7	*
146	42098	851	7518	0	3322	23	8	0.029	91.33	38.53	160	17.416	0.051	16.791	0.031	9.38	1	65.99	4.74	1	53.16	8.87	1	2.38E+00	2.21E-01	1	2.89E+00	1.91E-01	1	1749.9	72.4	1	868.3	49.8	1	345.5	24	304	171	76	9.6	6.3	4.7	29	23.9	17.3	65.6	43.3	15.9	-
147	42099	859	7522	0	0	17	9	0.023	121.24	40.88	130	-99.99	-99.99	17.634	0.032	9.45	1	81.01	10.03	1	58.53	14.01	1	2.26E+00	3.63E-01	1	3.97E+00	5.52E-01	1	2556.2	76.7	1	1309.7	61.3	1	540.1	28.7	433	243	107	11.7	8	6.4	34.6	28.3	20.6	67.4	53.8	18.9	-
148	99049	865	7526	4396	0	17	9	0.026	141.61	57.9	125	15.092	0.05	14.782	0.03	9.25	1	111.98	6.64	1	108.93	22.65	1	3.96E+00	5.30E-01	1	6.54E+00	8.26E-01	1	3775.5	145.2	1	2034.4	110.5	1	899.6	42.1	716	401	178	14.1	10.1	8.1	44.5	36.3	26.5	137.4	103.8	31.6	-
149	70071	873	7528	4402	0	17	5	0.029	165.9	48.72	90	16.682	0.052	15.829	0.032	10.04	1	678.54	13.05	1	631.06	30.34	1	1.83E+01	9.74E-01	1	2.70E+01	1.38E+00	1	14005.7	122.9	1	5933.2	68.3	1	2014.7	52.7	706	398	180	41.4	19.6	9.7	44.2	36.2	26.5	107	54.5	44.5	-
150	70072	881	7532	4406	0	17	0	-99.99	129.99	113.9	130	15.704	0.076	14.517	0.254	11.22	1	163.85	10.48	1	73.64	17.56	0	2.15E+00	0.00E+00	1	5.79E-01	3.56E-01	1	744.4	262.2	1	455.7	154.5	1	176.2	76.8	1293	725	324	14.1	10.8	8.9	80.2	65.7	47.9	249.2	139.5	59.4	-
151	70076	912	7538	4413	0	17	4	0.032	122.64	73.5	15	15.914	0.05	15.383	0.03	9.68	1	133.77	5.69	1	130.27	14.34	1	3.78E+00	5.52E-01	1	4.39E+00	5.43E-01	1	2503	167.4	1	1133.8	114.3	1	434.1	56.4	784	445	196	12.4	8.8	7.3	46.6	38.3	27.9	160.3	107.4	48.5	-
152	42104	921	7536	4412	0	17	5	0.018	79.38	65.94	76	15.32	0.051	14.917	0.03	9.3	1	225.69	10.38	1	382.67	24.93	1	6.31E+00	4.05E-01	1	6.36E+00	4.16E-01	1	2790.7	73.6	1	1084.2	71.7	1	338.6	30.7	452	258	113	11.4	8.6	6.5	35.3	29.1	21.1	63.6	65	21.2	-
153	42105	938	7541	4416	0	17	8	0.025	91.56	85.68	145	15.627	0.05	15.151	0.03	9.34	1	132.42	8.89	1	101.17	11.54	1	3.24E+00	3.76E-01	1	4.55E+00	4.65E-01	1	2536.9	108.4	1	1162.6	102.9	1	427.1	42.4	683	385	174	11.9	8.4	6.6	43.5	35.6	26.2	98.5	96.2	32.7	-
154	70082	939	7546	0	0	23	8	0.029	103	98.38	165	15.03	0.05	14.716	0.03	9.49	1	49.16	3.38	1	40.34	12.38	1	2.22E+00	4.17E-01	1	2.70E+00	4.48E-01	1	2208.1	180.4	1	1220.1	131.4	1	539.7	77.5	889	497	219	12.5	9.2	7.5	49.6	40.5	29.6	173	124.7	71.3	-
155	70080	944	7542	4417	0	23	1	-99.99	86.4	86.4	0	18.214	0.074	16.515	0.039	10.65	1	37.45	2.15	0	0	23.52	0	7.04E-01	0.00E+00	0	5.45E-01	0.00E+00	0	322	0	0	216.7	0	0	144.4	0	651	366	162	10.7	7.8	6.3	42.3	34.8	25.5	98	62.8	40.3	-
156	99054	958	7551	4419	0	17	3	0.033	147.84	58.38	133	17.28	0.052	15.926	0.03	10.24	1	658.67	15.62	1	1188.63	29.19	1	1.75E+01	1.12E+00	1	1.84E+01	9.92E-01	1	8487.4	168.5	1	3367.5	120.4	1	1096.9	51	755	424	189	27.2	14.1	9.5	45.7	37.4	27.3	159.9	113.6	42	-
157	42106	957	7549	4420	0	17	6	0.018	86.12	50.91	8	14.826	0.05	14.408	0.03	9.28	1	241.07	6.39	1	222.49	17.69	1	7.14E+00	4.36E-01	1	9.35E+00	6.08E-01	1	4100.9	79.9	1	1788	60.7	1	650.5	31.3	383	215	97	11.6	8.4	6.2	32.5	26.6	19.6	72	53.9	23.6	-
158	42107	971	7556	4423	0	23	10	0.021	128.04	50.94	20	16.013	0.051	15.602	0.03	9.04	0	0	35.14	0	0	37.55	1	9.28E-01	1.78E-01	1	1.40E+00	3.47E-01	1	1079.9	107.3	1	632.9	88.8	1	307.6	47.4	568	319	144	11.3	8.7	7	39.6	32.4	23.9	99.1	82.2	40.3	-
159	70090	979	7561	4424	0	23	3	0.021	85.4	80.14	100	16.329	0.05	15.267	0.031	10.17	1	189.15	4.99	1	283.23	13.19	1	6.70E+00	4.38E-01	1	6.13E+00	3.81E-01	1	2636.6	77.7	1	1014.8	79.5	1	331.9	46.4	593	334	150	16.3	9.1	6.3	40.5	33.2	24.4	64.2	71.7	38.9	-
160	42111	1002	7566	4430	0	23	5	0.019	93.9	89.66	120	15.21	0.051	14.824	0.03	9.83	1	181.78	23.5	1	134	15.84	1	4.20E+00	5.83E-01	1	7.14E+00	7.90E-01	1	4145.2	156.3	1	1859.9	96.1	1	680.6	45.8	736	414	183	13.9	9.9	8	45.1	36.9	26.9	149	88.2	36.1	-
161	70093	1003	7568	4429	0	17	1	-99.99	20	20	0	-99.99	-99.99	15.513	0.036	10.79	1	172.65	4.14	1	106.1	9.49	1	4.85E+00	1.02E+00	1	5.51E+00	5.93E-01	2	1610.6	4.4	2	694.1	4.2	2	220.8	5.7	224	125	55	0	0	0	0	0	0	0	0	0	-
162	70098	1030	7575	4435	0	17	1	-99.99	83.29	77.33	10	18.203	0.093	16.179	0.032	10.3	1	108.69	3.4	1	116.69	9.62	1	4.72E+00	3.04E-01	1	4.48E+00	3.02E-01	1	1839	276.7	1	690	112.8	1	193.5	53.3	559	317	141	10.4	6.4	4.6	39.3	32.3	23.6	273.7	107.9	47.6	-
163	70097	1043	7574	4438	0	17	5	0.028	134.46	118.49	27	15.344	0.051	14.572	0.031	10.66	1	345.29	14.3	1	229.29	30.84	1	1.19E+01	8.63E-01	1	1.55E+01	1.09E+00	1	8132.3	684.6	1	3660.7	271.1	1	1263.9	122.7	1392	782	346	16.9	10.4	7.1	62	50.8	37	681.6	266.1	116.8	-
164	70099	1047	7581	4440	0	17	3	0.027	84.42	84.42	0	18.939	0.149	17.292	0.034	9.91	1	18.36	2.72	0	0	16.24	0	9.92E-01	0.00E+00	0	9.72E-01	0.00E+00	0	228.1	0	0	239.6	0	0	105.2	0	621	349	155	10.1	7.7	6.1	41.3	33.9	24.4	63	71.9	24.5	-
165	42117	1048	7579	0	0	23	10	0.02	77.78	35.51	130	17.541	0.056	17.04	0.03	8.86	0	0	35.34	0	0	24.45	1	9.05E-01	2.08E-01	1	1.34E+00	2.23E-01	1	688.5	38.8	1	331	35.5	1	134.3	20.7	242	138	62	7.9	6.1	4.7	25.9	21.3	15.7	27.8	27.8	12.7	-
166	70100	1062	7583	4442	0	23	1	-99.99	121.2	121.2	0	17.32	0.052	16.041	0.034	10.67	1	70.67	2.26	1	34.6	7.86	0	1.68E+00	0.00E+00	0	1.39E+00	0.00E+00	0	722.6	0	0	625.5	0	0	253.2	0	1281	721	320	14.7	11	8.9	59.5	48.8	35.8	232.9	202.4	75.9	-
167	70104	1086	7587	4445	0	23	4	0.024	93.45	33.2	105	17.723	0.053	16.92	0.034	9.96	1	53.17	4.39	1	35.21	9.95	1	1.22E+00	1.39E-01	1	2.38E+00	1.81E-01	1	1374.7	62.5	1	576.8	49.7	1	184.7	23.9	275	154	65	9.7	5.9	4.1	27.6	22.5	16	55.2	44	17.2	-
168	70108	1091	7590	0	0	23	6	0.021	57.7	37.46	175	15.778	0.05	15.509	0.03	8.64	1	17.93	3.99	1	20.72	5.3	1	9.35E-01	8.80E-02	1	9.16E-01	1.20E-01	1	612	45.7	1	295.7	31.1	1	123.9	17.4	186	107	47	6.2	4.4	3.5	22.9	18.8	13.6	39.1	24.4	10.3	-
169	99063	0	7595	0	3391	24.3	8	0.032	63.74	50.4	95	15.923	0.057	15.566	0.031	9.28	1	52.73	3.44	1	40.95	9.34	1	1.39E+00	2.12E-01	1	2.19E+00	3.20E-01	1	1168.7	59.8	1	556.7	54.8	1	210.6	27.5	284	157	73	8.4	6.4	5.7	28	22.7	17	52.2	49.5	20.8	-
170	99062	1110	7594	4450	0	17	4	0.028	258.3	169.68	171	-99.99	-99.99	14.936	0.031	10.7	1	324.31	16.72	1	201.3	59.92	1	9.71E+00	3.05E+00	1	1.43E+01	3.34E+00	1	8521.2	1158.7	1	3878.6	686.5	1	1470.2	196.4	3822	2152	958	30.8	22.9	18.4	102.8	84.2	61.6	1153.7	680.9	185.5	-
171	70111	1118	7600	4451	0	23	6	0.019	82.32	40.74	170	16.424	0.05	15.656	0.03	9.69	1	149.23	4.21	1	139.41	13.55	1	4.51E+00	2.57E-01	1	4.89E+00	2.69E-01	1	2240.9	61.8	1	898.5	54.5	1	294.3	26.2	291	162	73	13.5	7.2	4.7	28.4	23.1	16.9	53.2	48.9	19.5	-
172	99065	1126	7602	0	3392	17	5	0.037	122.64	48.72	40	17.884	0.056	16.445	0.031	9.77	1	137.92	2.73	1	110.64	10.24	1	4.08E+00	6.32E-01	1	5.04E+00	4.26E-01	1	2665.8	148.1	1	1106.7	101.7	1	347.4	36.1	523	291	130	13.9	9.3	6.7	38	31	22.7	142.5	96.4	27.3	-
173	42124	1145	7609	4457	0	17	5	0.022	95.3	94.95	165	15.867	0.051	14.916	0.032	10.43	1	372.93	8.24	1	369.98	27.17	1	1.05E+01	6.64E-01	1	1.06E+01	8.34E-01	1	5023.5	192.1	1	1990.5	77.9	1	633.7	50	789	443	196	10	6.5	5.4	46.7	38.2	27.9	186.1	67.6	41.2	-
174	70116	1154	7614	4459	0	17	1	-99.99	20	20	0	17.372	0.197	15.988	0.031	10.78	1	178.88	6.75	1	133.28	12.3	1	4.36E+00	2.50E-01	1	4.05E+00	2.26E-01	2	1447.5	5	2	568.4	5.8	2	185.3	5.4	266	152	67	0	0	0	0	0	0	0	0	0	-
175	70115	1158	7613	4461	0	17	1	-99.99	84.48	84.48	0	18.196	0.063	16.696	0.033	10.4	1	31.24	1.28	1	12.4	3.97	0	1.16E+00	0.00E+00	0	8.69E-01	0.00E+00	0	222.6	0	0	194.9	0	0	93.3	0	622	350	155	10.3	7.6	6.1	41.6	34	25	60.6	54.9	17.4	-
176	70121	1190	7622	4469	0	23	2	-99.99	84.82	48.29	85	17.954	0.054	16.524	0.032	10.64	1	93.98	9.84	1	83.57	12.38	1	3.16E+00	2.82E-01	1	4.17E+00	3.23E-01	1	2126.8	68.6	1	887.5	37.8	1	282	25	357	201	90	15.9	7.8	5.2	31.4	25.7	18.9	58.9	26.6	15.6	-
177	42132	1205	7627	4470	0	17	3	0.024	77.28	48.3	180	15.056	0.054	14.707	0.03	9.2	1	147.9	9.17	1	133.31	8.58	1	4.59E+00	2.46E-01	1	4.98E+00	3.08E-01	1	2428.9	64.6	1	1027.6	34	1	366.7	24.5	328	182	82	10.8	6.7	4.9	29.8	24.5	18	56.3	22.6	15.8	-
178	42134	1226	7629	4472	0	17	0	-99.99	92.25	92.25	0	-99.99	-99.99	13.825	0.099	11.59	1	284.99	13.73	1	122.54	16.18	0	1.32E+00	0.00E+00	0	1.44E+00	0.00E+00	0	326.7	0	0	193	0	0	144.3	0	742	417	185	11.4	8.4	6.7	45.2	37.2	27.1	98.4	51.8	39.2	-
179	70125	1231	7631	4473	0	17	0	-99.99	36.36	36.36	0	17.34	0.091	15.776	0.069	10.71	1	80.02	3.43	1	38.62	9.72	0	2.14E-01	0.00E+00	0	1.79E-01	0.00E+00	0	85.8	0	0	61.4	0	0	40.6	0	115	64	28	4.4	3.2	2.9	17.9	14.6	11.2	21.9	13.9	6.9	-
180	70129	1253	7638	4477	0	17	1	-99.99	55.87	44	35	17.463	0.059	16.226	0.034	10.58	1	70.46	3.01	1	36	7	1	1.22E+00	1.01E-01	1	1.28E+00	1.27E-01	1	441.9	48	1	156	38.1	1	44	22.4	216	118	55	7.6	5.4	4.4	29.2	23.9	17.5	37.3	29.3	13.4	-
181	70133	1279	7645	4478	0	17	0	-99.99	22.5	22.5	0	18.278	0.079	16.594	0.031	10.09	1	29.46	2.06	1	18.53	4.81	0	1.27E-01	0.00E+00	0	1.15E-01	0.00E+00	0	39.3	0	0	29	0	0	19.6	0	44	24	11	2.7	2	1.4	10.9	8.7	6	6.7	3.7	2.3	-
182	42139	1290	7647	4480	0	17	7	0.024	83.77	60.46	170	15.433	0.051	14.984	0.03	9.38	1	146.62	19.38	1	139.12	18.43	1	4.37E+00	3.19E-01	1	5.39E+00	3.53E-01	1	3112.1	84.2	1	1478.6	42.8	1	553.1	31.7	443	248	110	10.8	8.4	6.4	35	28.6	20.9	75.8	30.7	22.9	-
183	70139	1316	7654	4486	0	17	0	-99.99	58.32	57.36	159	14.531	0.052	13.769	0.057	11.36	1	338.93	9.19	1	219.22	23.89	1	6.93E-01	1.82E-01	1	8.20E-01	1.56E-01	1	763.9	60.5	1	1006.5	36.9	1	1269.2	21.7	293	164	76	7.7	6.9	8.7	28.5	23.2	17.3	52.8	27.8	9.8	-
184	70140	1326	7657	4491	0	17	3	0.042	79.38	39.48	148	17.842	0.062	16.781	0.031	9.55	1	70.87	4.39	1	268.17	8.47	1	2.64E+00	2.17E-01	1	2.27E+00	1.96E-01	1	823	91.1	1	307.1	56.8	1	100.5	28.1	265	158	64	9.6	5.5	4.2	27.1	22.3	16.3	86.5	51.9	22.6	-
185	42141	1330	7656	4492	0	17	3	0.025	82.32	82.32	0	16.835	0.072	16.269	0.03	10.06	1	46.65	2.74	1	25.76	6.24	1	1.18E+00	2.76E-01	1	1.98E+00	2.83E-01	1	1344.6	98.9	1	607.7	71.8	1	215.7	43.1	593	332	145	10.5	7.6	6.1	40.5	33.1	24.2	89.6	63.3	35.1	-
186	129005	0	7662	4494	0	18.71	0	-99.99	26.15	25.91	180	-99.99	-99.99	-99.99	-99.99	10.88	1	100.93	3.51	1	53.84	9.8	1	3.70E-01	3.70E-02	1	3.13E-01	4.60E-02	3	84.9	19.8	3	34.7	14.5	0	25	0	61	37	14	2.4	1.8	1.4	13	11	7.2	14.8	9.3	4	-
187	42144	1375	7668	4505	0	17	11	0.024	199.92	158.34	70	13.972	0.051	13.803	0.03	9.41	0	0	0	0	0	0	2	1.25E+01	2.01E+00	2	1.51E+01	3.23E+00	1	8470.5	403.3	1	4212.1	291	1	1737.3	161.1	2763	1560	693	27.4	19.5	16.1	87.4	71.7	52.4	392.8	281.4	151.5	*
188	99075	1379	7669	4498	0	17	9	0.029	119.7	64.26	125	15.071	0.05	14.623	0.03	9.37	1	150.48	7.55	1	121.77	0.16	1	4.31E+00	5.49E-01	1	6.63E+00	6.17E-01	1	3930	127.1	1	1885.4	81.2	1	767.2	43.9	670	373	166	13.4	9.4	8.1	43	35.1	25.6	118.8	72.6	34.7	-
189	99077	1393	7676	0	797	17	7	0.031	70.98	46.62	108	15.913	0.053	15.468	0.03	8.94	1	72.16	2.71	1	56.5	9.28	1	2.24E+00	3.04E-01	1	2.67E+00	2.62E-01	1	1568.4	46.3	1	718.9	40.5	1	266	25	294	164	72	9	6.6	5.4	28.5	23.2	16.9	35.4	32.5	17.6	-
190	99076	1401	7675	4501	0	17	5	0.038	303.66	162.12	140	13.799	0.05	13.153	0.03	10.98	1	2717.46	40.03	1	2223.65	76.21	1	7.41E+01	5.57E+00	1	1.05E+02	5.82E+00	1	57336	1379.6	1	24221.3	645.1	1	8461.8	366.1	4299	2414	1083	38.9	27.2	21.8	109	89.1	65.4	1374.8	638.3	359.6	-
191	99078	1410	7677	4502	0	17	8	0.029	62.16	32.76	40	16.58	0.05	16.212	0.03	8.56	1	12.28	1.41	0	0	14.16	1	6.33E-01	1.63E-01	1	8.54E-01	2.12E-01	1	381.2	41.8	1	202.3	35.2	1	77.4	20.1	175	97	43	6.5	4.9	4	22	17.9	13	34.9	29.9	14.8	-
192	70152	1419	7682	4506	0	17	3	0.029	36.12	29.14	105	18.396	0.066	17.214	0.033	9.39	1	16.57	2.44	1	11.07	2.39	1	4.03E-01	4.90E-02	1	5.83E-01	6.20E-02	1	320.6	25.2	1	136.8	23.7	1	44.1	12.3	95	53	22	4.9	3.2	2.3	16.2	13.2	9.3	18.6	19.4	7.7	-
193	70157	1450	7695	0	3476	17	12	0.036	94.87	72.82	30	14.97	0.064	14.775	0.03	9.03	2	103.59	2.98	2	131.7	4.72	1	3.14E+00	3.14E-01	1	3.93E+00	3.63E-01	1	2237.8	125.8	1	1103.9	83.1	1	450.6	35	600	338	151	11.5	8	6	40.7	33.4	24.1	118.4	75.7	24.6	-
194	14063	0	7694	4517	0	17	8	0.024	462	86.1	80	14.61	0.05	14	0.03	10.46	1	1186.64	76.38	1	1095.9	175.79	1	2.83E+01	1.88E+00	1	4.90E+01	2.66E+00	1	33388	1108.5	1	17557.5	445.9	1	7599	224.1	3473	1955	863	39.4	26.2	19.8	98	80.2	58.4	1103.4	437.8	215.5	-
195	99087	1479	7703	4516	0	17	4	0.036	90.72	90.72	0	-99.99	-99.99	17.973	0.089	9.66	0	0	10.39	0	0	21.44	0	1.18E+00	0.00E+00	0	1.28E+00	0.00E+00	0	428.7	0	0	251.5	0	0	133.3	0	718	403	179	12.7	9.7	7.7	44.6	36.5	26.6	135.2	74.8	34.7	-
196	70167	1508	7709	4519	0	17	9	0.02	151.2	109.2	152	14.137	0.05	13.822	0.03	9.21	1	305.53	19.27	1	492.47	44.16	1	8.62E+00	8.93E-01	1	1.02E+01	7.63E-01	1	5086.1	275.8	1	2500.9	188.1	1	1031.3	98.4	1444	815	357	17.1	12	9.5	63.2	51.4	37.6	268	180.5	90.4	-
197	70168	1516	7711	4522	0	17	8	0.021	169.68	42	33	15.421	0.05	14.979	0.03	9.38	1	157.93	8.49	1	133.24	11.74	1	4.66E+00	3.81E-01	1	6.09E+00	4.40E-01	1	3392.6	78.9	1	1570.1	67.1	1	601.8	38.1	620	352	158	16.8	9.8	6.7	41.4	34	24.8	65	57	28.1	-
198	159016	0	7714	4525	0	16.77	8	0.023	126	67.2	65	15.683	0.053	15.341	0.03	9.29	1	61.05	2.45	1	36.47	11.59	1	1.01E+00	4.87E-01	1	2.01E+00	3.77E-01	1	1774.6	67.2	1	938	64.1	1	414.4	36.2	740	417	182	12.9	10.1	7.9	45.2	37.1	26.8	48	51.3	23	-
199	99090	1532	7716	0	800	17	7	0.038	82.32	59.64	150	16.291	0.053	15.878	0.03	9.07	1	47.94	6.57	1	48.26	11.45	1	1.26E+00	5.46E-01	1	1.53E+00	2.26E-01	1	873	123.1	1	394.1	82.3	1	150.4	34.9	424	241	110	10.2	7.7	6.2	34.2	28.2	20.9	117.8	77	27.3	-
200	42155	1535	7718	4526	0	17	1	-99.99	71.26	68.17	163	16.82	0.056	15.247	0.056	10.96	1	337.62	5.33	1	313.41	8.53	1	1.56E+01	8.27E-01	1	1.73E+01	8.80E-01	1	7778.6	89.2	1	3038	61.9	1	995	27.3	422	237	108	62.3	24.2	9.4	28.4	23.5	16.5	57.1	51.9	19.6	-
201	42156	1540	7721	4527	0	17	6	0.022	246.12	78.54	67	15.066	0.058	14.612	0.03	10.67	1	2966.58	31.31	1	3117.49	77.49	1	7.53E+01	4.00E+00	1	9.35E+01	4.86E+00	1	45589.8	429.1	1	19242.9	200.9	1	6776.4	113.8	1687	947	420	68.6	31.4	16.6	68.3	55.9	40.8	418.1	190.4	104.9	-
202	70173	1549	7728	0	3510	17	-2	-99.99	22.5	22.5	0	21.363	0.294	19.542	0.057	9.02	0	0	22.33	0	0	20.04	0	1.16E-01	0.00E+00	0	1.14E-01	0.00E+00	0	47.4	0	0	35.9	0	0	27.4	0	44	24	11	3.2	2.4	2.1	13.5	10.6	8.5	7.5	4.9	2.5	-
203	42158	1554	7726	4532	0	17	12	0.021	112.03	51.26	166	13.907	0.05	13.473	0.03	9.21	1	339.28	9.39	1	756.73	22.81	1	1.55E+01	8.35E-01	1	1.56E+01	9.53E-01	1	6901.7	117.7	1	3088.4	71.2	1	1175.1	47.1	504	282	124	20	12	9.4	37.4	30.5	22.1	109.8	63.2	40.5	-
204	42159	1555	7727	4535	0	17	7	0.019	270	232.43	180	13.1	0.05	12.688	0.03	10.45	1	1636.76	60.13	1	1651.58	143.88	1	3.49E+01	3.11E+00	1	6.17E+01	3.91E+00	1	34624.3	1146.6	1	15607.8	1019.1	1	5891.4	450.2	5476	3084	1362	41	24.9	18.7	123.1	100.8	73.4	1139.2	1013.8	443.8	-
205	14068	1562	7732	4536	0	17	6	0.018	303.66	137.76	140	13.591	0.05	13.195	0.03	10.26	1	2025.78	66.83	1	3367.49	88.53	1	5.64E+01	3.26E+00	1	5.85E+01	3.08E+00	1	27619.4	623.9	1	12281.5	431.3	1	4883.1	162.1	3642	2055	915	57.8	29.6	19.7	100.4	82.3	60.2	613.1	422.4	149.2	-
206	42162	1575	7736	0	3521	17	15	0.022	84	59.22	18	16.664	0.051	16.107	0.03	9.24	1	80.5	7.52	1	129.14	16.73	1	2.73E+00	4.81E-01	1	3.02E+00	3.67E-01	1	1516.8	72.8	1	666.2	63.3	1	235.3	31.3	432	247	106	10.8	8	6.2	34.6	28.5	20.5	63.1	55.9	22.9	-
207	99093	1588	7742	4540	0	17	8	0.035	79.29	66.86	145	15.955	0.053	15.234	0.032	9.69	1	185.48	6.92	1	142.12	11.77	1	5.47E+00	3.98E-01	1	6.78E+00	5.28E-01	1	4029.4	105.6	1	1741.1	69.6	1	611.4	40.4	460	259	116	11.3	8.4	6.7	35.7	29.2	21.4	98.8	62.6	33.5	-
208	99096	1615	7753	4548	0	17	5	0.038	252	209.58	150	14.895	0.051	14.266	0.03	10.74	1	621.84	39.32	1	429.84	87.98	1	1.36E+01	5.58E+00	1	2.40E+01	3.15E+00	1	15625.3	1675.7	1	7154.1	739.7	1	2664.2	276.8	4605	2595	1155	33.6	25.2	20.5	112.8	92.4	67.6	1671.5	733.5	267.6	-
209	0	0	0	4546	0	15	1	-99.99	104.51	75.3	80	17.833	0.09	16.025	0.06	-99.99	1	90.53	5.11	1	52.09	14.32	1	5.13E-01	1.32E-01	1	6.32E-01	1.21E-01	3	583	96.1	3	291.2	84.6	3	128.7	52.7	687	385	174	7.7	5.8	4.7	43.6	35.6	26.2	85.3	76.5	45.5	-
210	70182	1619	7757	4550	0	17	1	-99.99	20	20	0	17.971	0.054	16.552	0.031	9.98	1	20.86	1.07	0	0	8.24	1	5.16E-01	9.60E-02	1	4.86E-01	1.25E-01	2	91.4	4.2	0	57.8	0	0	37.1	0	104	63	28	0	3.2	2.6	0	14.3	10.9	0	12.5	5.3	-
211	70184	1632	7760	4552	0	17	0	-99.99	65.07	65.07	0	16.121	0.057	15.276	0.05	10.8	1	123.1	6	1	55.97	11.22	0	7.24E-01	0.00E+00	0	4.98E-01	0.00E+00	0	255.2	0	0	177.5	0	0	99	0	369	207	92	7.8	5.9	4.7	32.2	26.2	18.7	78.4	52.7	26.8	-
212	99098	0	7768	4561	0	20.14	10	0.026	77.47	62.9	110	14.676	0.051	14.408	0.03	9.14	1	46.92	3.84	1	70.79	12.16	1	2.51E+00	2.99E-01	1	2.43E+00	2.93E-01	1	1453.9	76.8	1	756.5	72.1	1	305	37.1	423	242	107	10.2	7.9	6.1	34.2	28.2	20.6	68	65.9	30.2	-
213	129010	0	7772	4565	0	17.61	5	-99.99	595.56	80.22	135	14.128	0.05	13.575	0.03	11.12	1	2298.49	42.19	1	1679.79	87.82	1	5.54E+01	4.66E+00	1	9.08E+01	5.14E+00	1	62058.5	1177	1	31069.7	686.3	1	12870.2	288.9	4174	2348	1047	52.2	31.8	23	107.4	87.9	64.4	1170.9	679.9	280.7	-
214	70186	1664	7773	4564	0	17	0	-99.99	38.97	38.97	0	17.824	0.057	16.594	0.034	10.25	1	36.94	2.02	1	15.65	4.49	0	2.91E-01	0.00E+00	0	2.68E-01	0.00E+00	0	108.9	0	0	62	0	0	47.5	0	132	74	33	4.6	3.4	2.7	19	15.6	11.2	30.6	13.1	10.8	-
215	70189	1673	7777	4567	0	17	6	0.033	86.83	41.34	75	15.462	0.05	14.635	0.03	9.92	2	588.65	7.55	2	497.53	16.37	2	1.41E+01	7.43E-01	2	1.92E+01	9.76E-01	3	9674.8	109.2	3	3991.5	48	3	1360.2	25.3	314	177	78	18.8	9.5	6.8	34.6	28.2	21	101.8	37.7	12.4	*
216	70188	1676	7776	4568	0	17	6	0.032	93.18	53.03	33	15.605	0.05	14.702	0.03	10.33	2	1522.07	12.74	2	1485.09	26.31	2	4.80E+01	2.42E+00	2	5.92E+01	2.97E+00	3	28827.2	163.7	3	11511.9	68.5	3	3813.1	33.1	433	239	109	75.2	33.7	17	37.8	31	22.5	140.4	50.9	17.3	*
217	70192	1690	7786	4569	0	17	4	0.047	258.6	157.3	23	14.909	0.05	13.659	0.03	10.66	1	1356.93	33.06	1	1432.95	48.2	1	3.13E+01	2.27E+00	1	4.28E+01	2.61E+00	1	22023.9	894.2	1	9219.8	580.8	1	3105.1	265.6	3548	1993	887	40.2	24.9	18.9	99	81	59.2	887.8	574.6	258.2	-
218	42178	1692	7785	4570	0	17	1	-99.99	84.48	84.48	0	17.753	0.056	16.264	0.04	10.48	1	46.95	2.27	1	21.66	4.82	0	1.34E+00	0.00E+00	0	2.67E+00	0.00E+00	0	255.5	0	0	267.4	0	0	121.6	0	622	350	155	7.2	5.6	4.5	41.6	34.1	24.8	74	82.2	31.8	-
219	70195	1720	7793	4578	0	17	1	-99.99	90.48	90.48	0	18.42	0.061	16.515	0.05	10.19	1	25.6	4.07	0	0	42.9	0	1.61E+00	0.00E+00	0	9.40E-01	0.00E+00	0	295.1	0	0	246	0	0	147.4	0	714	401	178	7.8	6.1	4.8	44.6	36.7	26.6	87.3	73.1	41	-
220	70197	1727	7796	4579	0	17	5	0.041	264.18	204.54	100	14.837	0.051	14.022	0.03	10.94	1	1034.71	41.02	1	762.47	65.92	1	2.56E+01	3.36E+00	1	3.88E+01	2.59E+00	1	21263.2	2091.8	1	9340.7	802.9	1	3339	526.2	4712	2643	1177	35	25.5	20.6	114.2	93.3	68.2	2088.4	797.1	521.4	-
221	42183	1730	7794	4580	0	17	3	0.024	83	73.38	160	16.757	0.056	15.71	0.03	9.99	1	153.32	3.48	1	131.83	10.26	1	5.05E+00	3.35E-01	1	7.30E+00	5.01E-01	1	3992.5	96.2	1	1742.9	55.5	1	607.6	28.1	533	300	131	13.3	9.6	7.2	38.4	31.4	22.8	87.2	44.8	14.8	-
