HRS_1	CGCG	VCC	UGC	NGC	IC	Dist_Mpc	Type	E_BV	a	b	pa	FUVasy	e_FUVasy	NUVasy	e_NUVasy	logMstart	Flag12	S12	err12	Flag22	S22	err22	Flag100	S100	err100	Flag160	S160	err160	Flag250	S250	err_tot250	Flag350	S350	err_tot350	Flag500	S500	err_tot500	Npix250	Npix350	Npix500	err_inst250	err_inst350	err_inst500	err_conf250	err_conf350	err_conf500	err_sky250	err_sky350	err_sky500	Note
27	184034	0	6001	3442	0	24.77	3	0.018	55.57	47.59	178	15.394	0.062	15.06	0.03	8.94	1	131.34	3.38	1	141.28	8.24	1	3.15E+00	2.86E-01	1	3.17E+00	2.53E-01	1	1365.4	46.7	1	547.8	29.5	1	174	18	230	128	56	8.8	6.1	4.6	25.2	20.5	14.9	38.4	20.2	9	-
28	155035	0	6023	3451	0	19.03	9	0.022	79.82	48.03	50	15.529	0.057	15.146	0.03	9.16	1	137.02	3.39	1	148.24	13.02	1	3.57E+00	2.32E-01	1	5.18E+00	3.21E-01	1	2450.2	70.4	1	1098.6	43.1	1	392.9	25.8	337	189	85	9.9	7.6	5.8	30.5	25	18.3	62.6	34.3	17.3	-
29	95060	0	6026	3454	0	15.73	7	0.034	90.22	51.28	115	17.047	0.058	16.5	0.03	9.06	1	70.4	4.03	1	69.73	9.14	1	2.40E+00	2.92E-01	1	3.42E+00	3.26E-01	1	1809.4	125.2	1	941.1	71	1	369.2	47.1	405	226	101	10.3	7.5	5.9	33.5	27.3	20	120.3	65.1	42.3	-
30	95062	0	6028	3455	0	15.79	5	0.033	99.96	61.74	70	15.19	0.05	14.742	0.03	8.87	1	88.15	5.22	1	80.88	14.73	1	2.87E+00	5.45E-01	1	3.86E+00	3.70E-01	1	2308.6	165.1	1	1160.8	92.4	1	504.4	60.6	539	300	133	12.8	8.6	7.2	38.6	31.4	22.9	160	86.4	55.6	-
31	267027	0	6024	3448	0	19.63	13	0.012	236.04	74.76	65	14.525	0.05	14.066	0.03	9.27	1	269.58	4.45	1	535.31	18.95	1	1.22E+01	1.18E+00	1	1.06E+01	1.58E+00	1	5483.5	329.9	1	2490.3	199.8	1	1003	98.7	1541	857	382	22.2	15.7	12.1	65.3	53.2	38.8	322.6	192	89.9	-
32	95065	0	6030	3457	0	16.54	5	0.031	38.22	38.22	0	19.889	0.081	17.611	0.031	9.46	1	14.12	2.3	0	0	18.07	1	4.20E-02	2.40E-02	1	1.82E-01	3.40E-02	1	130.3	30.3	0	64.8	0	0	48	0	129	71	31	5.3	4.2	3.5	18.9	15.1	11.4	23.1	14.9	10.7	-
33	95085	0	6077	3485	0	20.46	5	0.021	88.2	76.86	60	14.841	0.05	14.504	0.03	9.62	1	181.53	5.24	1	165.91	15.82	1	5.14E+00	3.68E-01	1	6.83E+00	5.32E-01	1	3463.1	104.3	1	1581.8	81.1	1	597.5	47.1	593	334	150	12.1	9.2	7.2	40.5	33.2	24.4	95.4	73.5	39.7	-
34	95097	0	6116	3501	0	16.14	8	0.023	166.58	52.12	30	16.557	0.056	15.687	0.046	9.58	1	173.63	3.52	1	129.93	10.52	1	5.00E+00	6.40E-01	1	8.62E+00	8.32E-01	1	4922.8	148.5	1	2458.8	132.2	1	1012.2	72.5	757	422	186	17.3	11.2	8.4	45.8	37.3	27.1	140.2	126.3	66.7	-
35	267037	0	6115	3499	0	21.74	13	0.009	34.02	30.24	20	-99.99	-99.99	-99.99	-99.99	9.69	1	18.06	0.64	1	7.31	1.76	1	2.40E-01	5.70E-02	1	2.73E-01	8.10E-02	1	182.3	21.1	1	71.9	15.8	0	32.3	0	91	50	25	4.6	3.7	2.9	15.8	12.7	9.5	13.2	8.7	4	-
36	155049	0	6118	3504	0	21.94	4	0.026	112.98	87.78	150	14.478	0.051	13.889	0.03	10.24	1	1320.21	14.94	1	2981.28	24.8	1	3.56E+01	1.98E+00	1	3.14E+01	1.65E+00	1	12200.6	219.7	1	4746.5	119.6	1	1565.1	61.1	865	487	213	46.4	17.5	10.4	48.9	40	29	209.1	111.4	52.8	-
